#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1_GL383520v2_alt	1	366580	883	44927	12.2557	0.238753	35.2	0
chr1_KI270764v1_alt	1	50258	119	8177	16.27	0.233276	35.7	6.21
chr1_KI270763v1_alt	1	911658	3082	139315	15.2815	0.336275	35.3	0.403
chr1_KI270759v1_alt	1	425601	2178	74743	17.5618	0.508812	34.8	0.909
chr1_KI270761v1_alt	1	165834	1831	22253	13.4188	1.10153	35.3	0.117
chr2_KI270770v1_alt	1	136240	331	21967	16.1238	0.241698	35.2	0.257
chr2_KI270773v1_alt	1	70887	380	15639	22.0619	0.531931	34.7	0.511
chr2_KI270774v1_alt	1	223625	1147	42896	19.1821	0.509371	35	5.52
chr2_KI270769v1_alt	1	120616	722	23751	19.6914	0.59764	35.2	0
chr2_GL383521v1_alt	1	143390	342	17956	12.5225	0.236906	34.9	2.34
chr2_KI270772v1_alt	1	133041	961	41202	30.9694	0.708526	35.1	12.4
chr2_KI270775v1_alt	1	138019	266	19021	13.7814	0.190785	35.6	3.16
chr2_KI270771v1_alt	1	110395	186	12612	11.4244	0.167997	35.3	8.29
chr2_KI270768v1_alt	1	110099	374	17721	16.0955	0.336434	35.1	2.55
chr2_GL582966v2_alt	1	96131	729	23446	24.3896	0.755677	35.1	0.037
chr2_GL383522v1_alt	1	123821	898	30851	24.9158	0.723553	35.5	5.74
chr2_KI270776v1_alt	1	174166	1681	38716	22.2294	0.960945	34.6	0.531
chr2_KI270767v1_alt	1	161578	383	21103	13.0606	0.235626	34.7	0.567
chr3_JH636055v2_alt	1	173151	483	24725	14.2794	0.277232	35.2	0.803
chr3_KI270783v1_alt	1	109187	176	12116	11.0966	0.16088	35.6	3.34
chr3_KI270780v1_alt	1	224108	1068	50121	22.3647	0.474057	35	6.43
chr3_GL383526v1_alt	1	180671	404	22445	12.4231	0.222338	35.4	5.12
chr3_KI270777v1_alt	1	173649	811	30298	17.4478	0.464679	35	0.996
chr3_KI270778v1_alt	1	248252	382	25792	10.3894	0.151914	35.3	0.45
chr3_KI270781v1_alt	1	113034	349	18685	16.5304	0.307164	35.2	10.2
chr3_KI270779v1_alt	1	205312	1672	39619	19.297	0.810693	34.3	5.01
chr3_KI270782v1_alt	1	162429	695	33438	20.5862	0.424863	34.8	1.74
chr3_KI270784v1_alt	1	184404	1088	38991	21.1443	0.585877	35.1	4.67
chr4_KI270790v1_alt	1	220246	350	23340	10.5972	0.157942	35.2	0.48
chr4_GL383528v1_alt	1	376187	496	34835	9.26002	0.131057	35.5	0.0202
chr4_KI270787v1_alt	1	111943	202	13972	12.4814	0.178448	34.9	13.4
chr4_GL000257v2_alt	1	586476	2139	85707	14.6139	0.362306	35.3	2.1
chr4_KI270788v1_alt	1	158965	314	21154	13.3073	0.194735	35.5	11.8
chr4_GL383527v1_alt	1	164536	769	29052	17.6569	0.464762	35.3	3.71
chr4_KI270785v1_alt	1	119912	286	18656	15.5581	0.2383	35.3	10.7
chr4_KI270789v1_alt	1	205944	394	25763	12.5097	0.189377	35.4	0.274
chr4_KI270786v1_alt	1	244096	308	21646	8.86782	0.125594	35.3	0.497
chr5_KI270793v1_alt	1	126136	479	23597	18.7076	0.378591	34.9	0.225
chr5_KI270792v1_alt	1	179043	1911	45829	25.5966	1.06363	34.7	7.45
chr5_KI270791v1_alt	1	195710	2051	47851	24.45	1.04364	35	0.619
chr5_GL383532v1_alt	1	82728	98	6891	8.32971	0.118037	35.7	0.429
chr5_GL949742v1_alt	1	226852	290	20457	9.01777	0.126655	35.2	6.59
chr5_KI270794v1_alt	1	164558	777	24917	15.1418	0.471329	35.1	0.384
chr5_GL339449v2_alt	1	1612928	6437	249548	15.4717	0.397098	35.2	2.68
chr5_GL383530v1_alt	1	101241	230	16148	15.9501	0.225413	35.5	14.1
chr5_KI270796v1_alt	1	172708	310	22191	12.8489	0.179135	35.3	0.2
chr5_GL383531v1_alt	1	173459	297	21097	12.1625	0.170057	35.3	2.58
chr5_KI270795v1_alt	1	131892	443	20122	15.2564	0.333856	35	7.35
chr6_GL000250v2_alt	1	4672374	8816	287038	6.1433	0.18813	35.1	0.396
chr6_KI270800v1_alt	1	175808	358	19850	11.2907	0.202539	35.3	5.29
chr6_KI270799v1_alt	1	152148	216	15615	10.263	0.140771	35.5	0.296
chr6_GL383533v1_alt	1	124736	218	14018	11.2381	0.172693	35.4	0
chr6_KI270801v1_alt	1	870480	2547	121840	13.9969	0.291308	35.3	0.726
chr6_KI270802v1_alt	1	75005	198	12974	17.2975	0.261796	34.5	10.1
chr6_KB021644v2_alt	1	185823	434	29404	15.8237	0.231441	34.7	2.11
chr6_KI270797v1_alt	1	197536	1021	38444	19.4618	0.514868	35.2	0.661
chr6_KI270798v1_alt	1	271782	1949	55307	20.3498	0.714352	34.9	0.232
chr7_KI270804v1_alt	1	157952	385	22988	14.5538	0.242586	35	4
chr7_KI270809v1_alt	1	209586	1545	40992	19.5586	0.733704	35.1	2.98
chr7_KI270806v1_alt	1	158166	610	26927	17.0245	0.382446	35.5	1.14
chr7_GL383534v2_alt	1	119183	1020	26198	21.9813	0.852152	35.1	0
chr7_KI270803v1_alt	1	1111570	14869	263463	23.7019	1.33492	35.2	12
chr7_KI270808v1_alt	1	271455	852	46908	17.2802	0.311831	35.3	1.92
chr7_KI270807v1_alt	1	126434	315	21150	16.7281	0.247188	35.2	0.876
chr7_KI270805v1_alt	1	209988	568	36248	17.2619	0.268039	34.8	4.26
chr8_KI270818v1_alt	1	145606	521	23740	16.3043	0.356654	35	6.68
chr8_KI270812v1_alt	1	282736	796	50959	18.0235	0.279971	35	0.418
chr8_KI270811v1_alt	1	292436	847	45167	15.4451	0.287714	34.8	3.87
chr8_KI270821v1_alt	1	985506	4026	167909	17.0378	0.406432	35.1	4.51
chr8_KI270813v1_alt	1	300230	1894	49530	16.4974	0.629051	35.1	1.47
chr8_KI270822v1_alt	1	624492	2040	93152	14.9164	0.32508	35.5	6.63
chr8_KI270814v1_alt	1	141812	698	34285	24.1764	0.491503	34.9	0.063
chr8_KI270810v1_alt	1	374415	713	49541	13.2316	0.188825	35.4	3.35
chr8_KI270819v1_alt	1	133535	1212	33660	25.2069	0.903898	34.5	1.53
chr8_KI270820v1_alt	1	36640	169	9311	25.4121	0.459116	35.1	11.5
chr8_KI270817v1_alt	1	158983	1014	30514	19.1932	0.636571	34.7	0.567
chr8_KI270816v1_alt	1	305841	7386	105681	34.5542	2.4053	34.6	0.765
chr8_KI270815v1_alt	1	132244	518	22702	17.1668	0.390475	34.9	1.2
chr9_GL383539v1_alt	1	162988	224	16142	9.9038	0.136722	35.4	0
chr9_GL383540v1_alt	1	71551	579	16995	23.7523	0.808472	35.1	0
chr9_GL383541v1_alt	1	171286	921	34979	20.4214	0.533143	35.1	0.915
chr9_GL383542v1_alt	1	60032	193	11543	19.2281	0.317647	35.3	15.1
chr9_KI270823v1_alt	1	439082	1540	82413	18.7694	0.349276	35.3	1.43
chr10_GL383545v1_alt	1	179254	850	34712	19.3647	0.470539	35	15.5
chr10_KI270824v1_alt	1	181496	579	27022	14.8885	0.314211	35	1.32
chr10_GL383546v1_alt	1	309802	1583	49853	16.0919	0.508551	34.8	0.16
chr10_KI270825v1_alt	1	188315	1713	42864	22.7619	0.907007	35	0
chr11_KI270832v1_alt	1	210133	4372	71084	33.8281	2.07189	34.6	2.71
chr11_KI270830v1_alt	1	177092	1024	31937	18.0341	0.572635	34.2	4.08
chr11_KI270831v1_alt	1	296895	2452	69204	23.3093	0.823012	35	3.29
chr11_KI270829v1_alt	1	204059	902	31889	15.6273	0.440118	35.2	0.697
chr11_GL383547v1_alt	1	154407	230	16127	10.4445	0.147882	35.5	6
chr11_JH159136v1_alt	1	200998	1164	34057	16.9439	0.577055	35.4	7.27
chr11_JH159137v1_alt	1	191409	743	30354	15.8582	0.386257	35.4	15.1
chr11_KI270827v1_alt	1	67707	152	10117	14.9423	0.220671	35.1	11.4
chr11_KI270826v1_alt	1	186169	341	23934	12.8561	0.181808	35.2	0.645
chr12_GL877875v1_alt	1	167313	2447	60957	36.4329	1.45677	34.9	4.36
chr12_GL877876v1_alt	1	408271	1357	46220	11.3209	0.33165	35.3	0.0111
chr12_KI270837v1_alt	1	40090	437	6536	16.3033	1.05942	32.7	0
chr12_GL383549v1_alt	1	120804	252	16965	14.0434	0.205804	35.3	3.35
chr12_KI270835v1_alt	1	238139	1421	55458	23.2881	0.593788	35.4	2.03
chr12_GL383550v2_alt	1	169178	498	27544	16.2811	0.291758	35.6	5.16
chr12_GL383552v1_alt	1	138655	268	17079	12.3176	0.192579	35.3	2.52
chr12_GL383553v2_alt	1	152874	654	26040	17.0336	0.426384	35.3	0.518
chr12_KI270834v1_alt	1	119498	1991	41288	34.5512	1.66135	35	0.0874
chr12_GL383551v1_alt	1	184319	397	27838	15.1032	0.214112	35.4	2.24
chr12_KI270833v1_alt	1	76061	546	14920	19.6158	0.714966	35	3.71
chr12_KI270836v1_alt	1	56134	137	8949	15.9422	0.242064	34.8	5.55
chr13_KI270840v1_alt	1	191684	531	32159	16.7771	0.275151	35.1	0.418
chr13_KI270839v1_alt	1	180306	457	27021	14.9862	0.252548	35.3	4.04
chr13_KI270843v1_alt	1	103832	148	10568	10.178	0.140612	35.6	1.04
chr13_KI270841v1_alt	1	169134	266	18170	10.743	0.155297	35.4	6.02
chr13_KI270838v1_alt	1	306913	1024	54234	17.6708	0.331873	35.1	0.931
chr13_KI270842v1_alt	1	37287	237	6271	16.8182	0.630676	35.1	0.865
chr14_KI270844v1_alt	1	322166	1127	53641	16.6501	0.347641	35.5	1.41
chr14_KI270847v1_alt	1	1511111	9215	299710	19.8338	0.607097	35.1	0.255
chr14_KI270845v1_alt	1	180703	1030	42037	23.263	0.568745	34.5	7.56
chr14_KI270846v1_alt	1	1351393	18982	302222	22.3637	1.40021	35.1	2.01
chr15_KI270852v1_alt	1	478999	1759	66573	13.8984	0.364794	35.2	0
chr15_KI270851v1_alt	1	263054	3298	67443	25.6385	1.24997	35.1	0.951
chr15_KI270848v1_alt	1	327382	2513	68549	20.9385	0.764697	35.1	2.36
chr15_GL383554v1_alt	1	296527	2928	69480	23.4313	0.98385	35	0
chr15_KI270849v1_alt	1	244917	799	37189	15.1843	0.324338	35.5	2.88
chr15_GL383555v2_alt	1	388773	1754	77848	20.024	0.449591	35.1	2.58
chr15_KI270850v1_alt	1	430880	5335	128040	29.7159	1.23426	35	3.15
chr16_KI270854v1_alt	1	134193	1077	30880	23.0116	0.797366	34.8	1.93
chr16_KI270856v1_alt	1	63982	252	11911	18.6162	0.389344	34.6	5.92
chr16_KI270855v1_alt	1	232857	2622	62587	26.8779	1.12031	34.8	0.637
chr16_KI270853v1_alt	1	2659700	19061	578559	21.7528	0.713236	35.1	2.58
chr16_GL383556v1_alt	1	192462	1617	39928	20.7459	0.834404	35.2	3.91
chr16_GL383557v1_alt	1	89672	407	15928	17.7625	0.448791	35	3.91
chr17_GL383563v3_alt	1	375691	1531	67950	18.0867	0.405283	35.1	5.51
chr17_KI270862v1_alt	1	391357	1797	67589	17.2704	0.456394	34.8	1.78
chr17_KI270861v1_alt	1	196688	3444	65003	33.0488	1.74328	34.8	0.534
chr17_KI270857v1_alt	1	2877074	19513	601122	20.8935	0.675426	35	2.01
chr17_JH159146v1_alt	1	278131	2942	55110	19.8144	1.055	34.9	0.0748
chr17_JH159147v1_alt	1	70345	741	14862	21.1273	1.04771	34.9	16.8
chr17_GL383564v2_alt	1	133151	2787	40400	30.3415	2.09006	35.1	0.0646
chr17_GL000258v2_alt	1	1821992	5309	173642	9.53034	0.28927	35	0.617
chr17_GL383565v1_alt	1	223995	390	26418	11.794	0.172267	35.4	0.39
chr17_KI270858v1_alt	1	235827	386	26714	11.3278	0.162318	35.4	0.14
chr17_KI270859v1_alt	1	108763	262	15291	14.059	0.238868	35.5	8.72
chr17_GL383566v1_alt	1	90219	248	15963	17.6936	0.271573	35	2
chr17_KI270860v1_alt	1	178921	1577	41525	23.2086	0.877404	34.9	5.01
chr18_KI270864v1_alt	1	111737	149	10691	9.568	0.132033	35.3	0.57
chr18_GL383567v1_alt	1	289831	761	45182	15.5891	0.259299	35.3	6.78
chr18_GL383570v1_alt	1	164789	392	26687	16.1946	0.236976	35.4	0.306
chr18_GL383571v1_alt	1	198278	525	25095	12.6565	0.263191	35.3	9.08
chr18_GL383568v1_alt	1	104552	193	12559	12.0122	0.183469	35.5	6.55
chr18_GL383569v1_alt	1	167950	224	16201	9.64632	0.13251	35.1	1.61
chr18_GL383572v1_alt	1	159547	802	21202	13.2889	0.501175	34.6	6.31
chr18_KI270863v1_alt	1	167999	1034	33113	19.7102	0.611569	34.9	0.681
chr19_KI270868v1_alt	1	61734	971	18055	29.2464	1.56509	34.7	3.25
chr19_KI270865v1_alt	1	52969	1038	18031	34.0407	1.94818	34.2	0.228
chr19_GL383573v1_alt	1	385657	1597	59624	15.4604	0.411088	35.4	0.0438
chr19_GL383575v2_alt	1	170222	846	26948	15.8311	0.495242	35.4	1.28
chr19_GL383576v1_alt	1	188024	975	31255	16.6229	0.51445	35.3	3.4
chr19_GL383574v1_alt	1	155864	570	28254	18.1273	0.3634	35.1	3.74
chr19_KI270866v1_alt	1	43156	641	11691	27.0901	1.46381	35	4.79
chr19_KI270867v1_alt	1	233762	1314	43667	18.6801	0.560168	35.1	0
chr19_GL949746v1_alt	1	987716	5308	138075	13.9792	0.536322	34.9	0.074
chr20_GL383577v2_alt	1	128386	375	24181	18.8346	0.29092	35	1.5
chr20_KI270869v1_alt	1	118774	904	26165	22.0292	0.756748	34.9	0.976
chr20_KI270871v1_alt	1	58661	568	15037	25.6337	0.961917	34.8	0.991
chr20_KI270870v1_alt	1	183433	2031	45632	24.8767	1.10325	34.9	0.561
chr21_GL383578v2_alt	1	63917	123	8764	13.7115	0.192124	35.3	16.6
chr21_KI270874v1_alt	1	166743	311	20718	12.4251	0.185891	35.6	0
chr21_KI270873v1_alt	1	143900	315	19228	13.3621	0.217088	35.4	2.22
chr21_GL383579v2_alt	1	201197	386	26218	13.031	0.190972	35.4	1.25
chr21_GL383580v2_alt	1	74653	338	11279	15.1086	0.449707	35.2	2.78
chr21_GL383581v2_alt	1	116689	642	27689	23.7289	0.543307	35.2	5.14
chr21_KI270872v1_alt	1	82692	1377	26385	31.9076	1.6571	34.9	0.171
chr22_KI270875v1_alt	1	259914	2549	56745	21.8322	0.978162	35.1	5.19
chr22_KI270878v1_alt	1	186262	1046	39347	21.1245	0.559191	35	4.22
chr22_KI270879v1_alt	1	304135	4357	84625	27.8248	1.428	34.9	16.3
chr22_KI270876v1_alt	1	263666	899	40433	15.3349	0.339687	35.3	2.01
chr22_KI270877v1_alt	1	101331	690	24575	24.2522	0.677048	34.9	3.3
chr22_GL383583v2_alt	1	96924	338	13489	13.9171	0.343754	34.8	0.287
chr22_GL383582v2_alt	1	162811	1218	27276	16.7532	0.746313	34.8	0.551
chrX_KI270880v1_alt	1	284869	648	34459	12.0964	0.224405	34.6	2.85
chrX_KI270881v1_alt	1	144206	231	11111	7.70495	0.159792	35	0
chr19_KI270882v1_alt	1	248807	420	21042	8.45716	0.168576	35.3	0
chr19_KI270883v1_alt	1	170399	472	19142	11.2336	0.276128	35.2	0
chr19_KI270884v1_alt	1	157053	216	10807	6.88112	0.13724	34.9	0.0926
chr19_KI270885v1_alt	1	171027	335	15983	9.34531	0.195472	34.7	0
chr19_KI270886v1_alt	1	204239	252	12915	6.32347	0.123125	35	0
chr19_KI270887v1_alt	1	209512	481	21676	10.3459	0.229008	34.9	0.108
chr19_KI270888v1_alt	1	155532	136	8180	5.25937	0.0871268	35	0
chr19_KI270889v1_alt	1	170698	353	16846	9.86889	0.206734	35.5	0
chr19_KI270890v1_alt	1	184499	425	17721	9.60493	0.230126	34.5	0
chr19_KI270891v1_alt	1	170680	397	17784	10.4195	0.231644	35.1	0
chr1_KI270892v1_alt	1	162212	1859	22040	13.5872	1.14371	35.1	0.0581
chr2_KI270894v1_alt	1	214158	1401	50743	23.6942	0.644463	35.2	9.95
chr2_KI270893v1_alt	1	161218	394	21365	13.2522	0.242355	34.9	0.703
chr3_KI270895v1_alt	1	162896	1687	33222	20.3946	1.03274	34.4	0
chr4_KI270896v1_alt	1	378547	1667	51608	13.6332	0.436997	35.2	1.04
chr5_KI270897v1_alt	1	1144418	4814	163736	14.3074	0.418403	35.2	0.594
chr5_KI270898v1_alt	1	130957	489	17569	13.4159	0.371985	34.9	0.697
chr6_GL000251v2_alt	1	4795265	21354	668803	13.9472	0.443808	34.9	0.457
chr7_KI270899v1_alt	1	190869	665	30928	16.2038	0.34739	34.8	1.59
chr8_KI270901v1_alt	1	136959	317	22213	16.2187	0.230624	34.8	9.05
chr8_KI270900v1_alt	1	318687	1048	39195	12.2989	0.32685	34.8	4.13
chr11_KI270902v1_alt	1	106711	3707	37147	34.8108	3.46047	34.4	15.4
chr11_KI270903v1_alt	1	214625	1200	34926	16.273	0.553006	34.1	7.38
chr12_KI270904v1_alt	1	572349	2936	86511	15.1151	0.508725	34.8	5.07
chr15_KI270906v1_alt	1	196384	1603	43734	22.2696	0.81169	34.9	0.148
chr15_KI270905v1_alt	1	5161414	31631	947743	18.3621	0.610204	35.1	3.76
chr17_KI270907v1_alt	1	137721	364	18211	13.2231	0.263736	34.7	2.6
chr17_KI270910v1_alt	1	157099	878	25781	16.4107	0.555764	34.6	0.592
chr17_KI270909v1_alt	1	325800	1549	48698	14.9472	0.473192	35.1	3.25
chr17_JH159148v1_alt	1	88070	317	9490	10.7755	0.358885	35.2	2.05
chr17_KI270908v1_alt	1	1423190	9918	264280	18.5696	0.693722	35.1	2.84
chr18_KI270912v1_alt	1	174061	278	19637	11.2817	0.158387	35.2	0.36
chr18_KI270911v1_alt	1	157710	688	19975	12.6657	0.435185	34.7	0.481
chr19_GL949747v2_alt	1	729520	2292	84011	11.5159	0.312869	34.9	0.586
chr22_KB663609v1_alt	1	74013	573	13924	18.8129	0.771554	35	0.162
chrX_KI270913v1_alt	1	274009	667	29014	10.5887	0.241992	34.3	7.63
chr19_KI270914v1_alt	1	205194	360	16945	8.25804	0.174986	35.3	0
chr19_KI270915v1_alt	1	170665	320	14827	8.68778	0.186998	35	1.36
chr19_KI270916v1_alt	1	184516	356	17184	9.31301	0.192883	35	0
chr19_KI270917v1_alt	1	190932	402	17531	9.1818	0.20953	35.3	0
chr19_KI270918v1_alt	1	123111	306	13393	10.8788	0.247963	34.9	0
chr19_KI270919v1_alt	1	170701	397	18707	10.9589	0.231914	35.1	0
chr19_KI270920v1_alt	1	198005	314	15877	8.01848	0.158148	34.9	0
chr19_KI270921v1_alt	1	282224	501	24109	8.54251	0.177341	35.1	0
chr19_KI270922v1_alt	1	187935	385	17882	9.51499	0.20447	35	0
chr19_KI270923v1_alt	1	189352	216	11198	5.91385	0.11382	34.9	0
chr3_KI270924v1_alt	1	166540	1303	33305	19.9982	0.779062	34.6	0.376
chr4_KI270925v1_alt	1	555799	1182	74179	13.3464	0.211384	35.1	6.94
chr6_GL000252v2_alt	1	4604811	21231	591481	12.8448	0.459585	34.9	1.8
chr8_KI270926v1_alt	1	229282	797	32355	14.1114	0.346377	35.2	0.93
chr11_KI270927v1_alt	1	218612	4857	68689	31.4205	2.21292	34.5	7.81
chr19_GL949748v2_alt	1	1064304	1080	49140	4.6171	0.1008	34.9	0
chr22_KI270928v1_alt	1	176103	1736	36785	20.8883	0.983084	35	8.01
chr19_KI270929v1_alt	1	186203	288	14673	7.88011	0.154638	35.2	0
chr19_KI270930v1_alt	1	200773	474	19475	9.70001	0.235719	35.1	0
chr19_KI270931v1_alt	1	170148	367	17129	10.0671	0.215595	34.9	0
chr19_KI270932v1_alt	1	215732	363	16655	7.72023	0.167907	35	0
chr19_KI270933v1_alt	1	170537	522	20202	11.8461	0.305787	35	1.23
chr19_GL000209v2_alt	1	177381	450	19203	10.8258	0.253037	34.8	0
chr3_KI270934v1_alt	1	163458	1667	34641	21.1926	1.01791	34.4	0.0558
chr6_GL000253v2_alt	1	4677643	14346	490070	10.4769	0.305721	35	0.664
chr19_GL949749v2_alt	1	1091841	1257	59977	5.4932	0.114753	34.8	0
chr3_KI270935v1_alt	1	197351	1031	32628	16.533	0.520073	34.9	0.72
chr6_GL000254v2_alt	1	4827813	23541	648052	13.4233	0.486175	34.9	4.37
chr19_GL949750v2_alt	1	1066390	1175	50245	4.71169	0.109596	34.8	0
chr3_KI270936v1_alt	1	164170	1602	33516	20.4154	0.972876	34.4	0.00187
chr6_GL000255v2_alt	1	4606388	19359	595916	12.9367	0.418905	34.9	0.656
chr19_GL949751v2_alt	1	1002683	1279	58614	5.84572	0.127113	35	0
chr3_KI270937v1_alt	1	165607	1623	34301	20.7123	0.97636	34.4	0.108
chr6_GL000256v2_alt	1	4929269	19392	561577	11.3927	0.39204	34.9	1.41
chr19_GL949752v1_alt	1	987100	5721	152175	15.4164	0.577945	34.8	2.29
chr6_KI270758v1_alt	1	76752	129	5718	7.44997	0.167579	35.2	0.225
chr19_GL949753v2_alt	1	796479	3470	96735	12.1453	0.434339	34.9	0.693
chr19_KI270938v1_alt	1	1066800	6548	167556	15.7064	0.612273	35	0.576
chrM	1	16569	46911	16569	100	281.582	35.1	53.7
chrUn_KI270302v1	1	2274	1	100	4.39754	0.0439754	35.8	0
chrUn_KI270304v1	1	2165	3	194	8.96074	0.119169	36.9	5.33
chrUn_KI270303v1	1	1942	8	361	18.5891	0.411946	36.5	9
chrUn_KI270305v1	1	1472	6	441	29.9592	0.407609	36.7	15
chrUn_KI270322v1	1	21476	35	1706	7.94375	0.162973	36	7.09
chrUn_KI270320v1	1	4416	63	2286	51.7663	1.4101	35.9	10
chrUn_KI270310v1	1	1201	17	452	37.6353	1.39634	35.6	4.59
chrUn_KI270315v1	1	2276	2	139	6.10721	0.0878735	34.3	4
chrUn_KI270311v1	1	12399	25	728	5.87144	0.201629	35.2	5.44
chrUn_KI270317v1	1	37690	9	478	1.26824	0.023879	35.3	28.9
chrUn_KI270411v1	1	2646	18	927	35.034	0.680272	35.2	0.944
chrUn_KI270414v1	1	2489	15	729	29.2889	0.602652	35.7	7.93
chrUn_KI270419v1	1	1029	2	115	11.1759	0.194363	36.7	3
