#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1_KI270712v1_random	1	176043	532	26983	15.3275	0.296178	34.8	10
chr1_KI270713v1_random	1	40745	2094	15208	37.3248	5.11984	34.7	18.7
chr1_KI270714v1_random	1	41717	628	14049	33.6769	1.49548	34.4	26.7
chr2	1	242193529	891074	38052683	15.7117	0.36501	35	56.2
chr20	1	64444167	276048	10471159	16.2484	0.425053	34.9	57.3
chr21	1	46709983	137424	5857748	12.5407	0.291487	35	53.2
chr22	1	50818468	220329	6785930	13.3533	0.430363	34.8	53.5
chr22_KI270731v1_random	1	150754	1506	36687	24.3357	0.98266	34.8	9.25
chr22_KI270732v1_random	1	41543	249	13045	31.4012	0.590473	34.9	33
chr22_KI270733v1_random	1	179772	550	3631	2.01978	0.29894	33.3	3.73
chr22_KI270734v1_random	1	165050	1560	39088	23.6825	0.921115	34.8	6.53
chr22_KI270735v1_random	1	42811	266	14005	32.7136	0.586625	35.1	39.6
chr22_KI270736v1_random	1	181920	461	20063	11.0285	0.169179	34.7	24.2
chr22_KI270737v1_random	1	103838	178	9286	8.94278	0.140787	35	11.3
chr22_KI270738v1_random	1	99375	158	10721	10.7884	0.152644	35	40.8
chr22_KI270739v1_random	1	73985	71	4743	6.41076	0.092762	35.7	14.1
chr2_KI270715v1_random	1	161471	151	11458	7.09601	0.0924562	34.8	1.47
chr2_KI270716v1_random	1	153799	190	13814	8.98185	0.121782	35.4	5.74
chr3	1	198295559	706911	30662332	15.4629	0.35399	35.1	58.2
chr3_GL000221v1_random	1	155397	293	15832	10.1881	0.187397	35.2	0
chr4	1	190214555	579937	28091017	14.7681	0.302489	35.1	56.2
chr4_GL000008v2_random	1	209709	713	40755	19.4341	0.32989	35.2	21.9
chr5	1	181538259	598346	27345365	15.0631	0.327212	35.1	56.8
chr5_GL000208v1_random	1	92689	7	335	0.361424	0.0052865	34.4	0
chr6	1	170805979	564765	25686206	15.0382	0.328443	35.1	56.8
chr7	1	159345973	603139	24905049	15.6295	0.375783	35	54.4
chr8	1	145138636	480790	22086750	15.2177	0.328989	35	55.2
chr9	1	138394717	484665	19246907	13.9073	0.347811	35	55
chr9_KI270717v1_random	1	40062	135	4734	11.8167	0.336903	35.3	7.71
chr9_KI270718v1_random	1	38054	153	7718	20.2817	0.395096	35.5	7.38
chr9_KI270719v1_random	1	176845	849	38840	21.9627	0.477887	34.9	29.5
chr9_KI270720v1_random	1	39050	247	8663	22.1844	0.626197	35.3	39
chr1_KI270762v1_alt	1	354444	2086	59912	16.9031	0.584044	34.6	0.722
chr1_KI270766v1_alt	1	256271	1478	40401	15.765	0.573838	35.1	2.07
chr1_KI270760v1_alt	1	109528	151	10406	9.50077	0.137627	34.9	3.61
chr1_KI270765v1_alt	1	185285	334	18976	10.2415	0.178806	35.2	2.4
chr1_GL383518v1_alt	1	182439	757	26309	14.4207	0.413102	34.8	0.132
chr1_GL383519v1_alt	1	110268	1587	37004	33.5582	1.43317	34.7	0
chr1_GL383520v2_alt	1	366580	521	30349	8.27896	0.141486	35.1	0.207
chr1_KI270764v1_alt	1	50258	37	2567	5.10764	0.0674917	34.9	3.65
chr1_KI270763v1_alt	1	911658	1689	87736	9.62378	0.184075	35.1	0.245
chr1_KI270759v1_alt	1	425601	1035	40179	9.44053	0.241306	34.7	0.669
chr1_KI270761v1_alt	1	165834	953	18205	10.9778	0.572289	35.2	0.145
chr2_KI270770v1_alt	1	136240	135	10194	7.48238	0.0971007	34.8	0.4
chr2_KI270773v1_alt	1	70887	156	7729	10.9033	0.219688	35.2	1.25
chr2_KI270774v1_alt	1	223625	504	19393	8.67211	0.224121	34.8	5.15
chr2_KI270769v1_alt	1	120616	379	16139	13.3805	0.312222	35	0
chr2_GL383521v1_alt	1	143390	170	11543	8.05007	0.117937	34.7	1.21
chr2_KI270772v1_alt	1	133041	587	30238	22.7283	0.435806	35.1	14.6
chr2_KI270775v1_alt	1	138019	103	7595	5.50287	0.0739318	35.2	0.583
chr2_KI270771v1_alt	1	110395	98	7235	6.55374	0.088446	35	4.32
chr2_KI270768v1_alt	1	110099	206	11140	10.1182	0.185978	35.3	3.36
chr2_GL582966v2_alt	1	96131	320	13861	14.4189	0.332005	35.2	0
chr2_GL383522v1_alt	1	123821	389	16712	13.4969	0.313493	35.1	5.76
chr2_KI270776v1_alt	1	174166	674	25476	14.6274	0.38287	34.4	1.01
chr2_KI270767v1_alt	1	161578	125	8246	5.10342	0.0771825	34.9	0
chr3_JH636055v2_alt	1	173151	344	19988	11.5437	0.197891	35.1	1.45
chr3_KI270783v1_alt	1	109187	88	6691	6.12802	0.0801927	35.2	2.77
chr3_KI270780v1_alt	1	224108	462	25689	11.4628	0.205031	35	7.48
chr3_GL383526v1_alt	1	180671	243	14094	7.80092	0.133652	35.3	3.28
chr3_KI270777v1_alt	1	173649	465	19202	11.0579	0.266071	35.1	0.873
chr3_KI270778v1_alt	1	248252	203	15479	6.2352	0.0813286	35.1	1.02
chr3_KI270781v1_alt	1	113034	175	11674	10.3279	0.154325	34.8	4.94
chr3_KI270779v1_alt	1	205312	815	25703	12.519	0.394492	34.4	6.94
chr3_KI270782v1_alt	1	162429	257	13022	8.01704	0.156635	34.9	2.51
chr3_KI270784v1_alt	1	184404	541	22706	12.3132	0.29258	35.1	5.47
chr4_KI270790v1_alt	1	220246	197	14865	6.74927	0.088383	34.8	1.29
chr4_GL383528v1_alt	1	376187	305	23055	6.1286	0.0802766	35.1	0.393
chr4_KI270787v1_alt	1	111943	106	7963	7.11344	0.0932617	34.8	2.87
chr4_GL000257v2_alt	1	586476	1186	54985	9.37549	0.200145	35.2	1.57
chr4_KI270788v1_alt	1	158965	198	14687	9.23914	0.123851	35.4	10.3
chr4_GL383527v1_alt	1	164536	420	19182	11.6582	0.254631	35.3	2.98
chr4_KI270785v1_alt	1	119912	156	11773	9.81803	0.128945	35.1	9.67
chr4_KI270789v1_alt	1	205944	187	13801	6.70134	0.090209	35.3	0
chr4_KI270786v1_alt	1	244096	88	6825	2.79603	0.0355188	35.6	0
chr5_KI270793v1_alt	1	126136	182	10716	8.49559	0.142719	34.8	0
chr5_KI270792v1_alt	1	179043	806	26372	14.7294	0.447524	34.5	7.36
chr5_KI270791v1_alt	1	195710	936	28290	14.4551	0.475668	34.7	0.854
chr5_GL383532v1_alt	1	82728	58	4300	5.19776	0.0696258	34.7	0.931
chr5_GL949742v1_alt	1	226852	225	16175	7.1302	0.0982667	35.3	5.44
chr5_KI270794v1_alt	1	164558	327	14090	8.56233	0.197888	34.9	0.425
chr5_GL339449v2_alt	1	1612928	3346	160756	9.96672	0.205995	35	2.99
chr5_GL383530v1_alt	1	101241	114	7815	7.7192	0.112198	35.1	18.4
chr5_KI270796v1_alt	1	172708	147	11064	6.40619	0.0836962	35.5	0
chr5_GL383531v1_alt	1	173459	181	13303	7.66925	0.103638	35.1	3.34
chr5_KI270795v1_alt	1	131892	186	9756	7.39696	0.139485	34.9	5.26
chr6_GL000250v2_alt	1	4672374	2722	139873	2.99362	0.0580103	34.9	0.501
chr6_KI270800v1_alt	1	175808	205	13473	7.66347	0.115876	35.4	2.7
chr6_KI270799v1_alt	1	152148	99	7141	4.69346	0.0646542	35.1	0
chr6_GL383533v1_alt	1	124736	90	5912	4.73961	0.0714629	35.2	0
chr6_KI270801v1_alt	1	870480	1458	80599	9.25914	0.166607	35.1	0.348
chr6_KI270802v1_alt	1	75005	87	5918	7.89014	0.114166	35.5	9.48
chr6_KB021644v2_alt	1	185823	186	12874	6.9281	0.0984001	34.3	2.62
chr6_KI270797v1_alt	1	197536	448	18970	9.60331	0.225407	35.3	0.536
chr6_KI270798v1_alt	1	271782	793	26267	9.66473	0.290395	34.7	0.212
chr7_KI270804v1_alt	1	157952	149	9743	6.16833	0.093864	35.1	3.64
chr7_KI270809v1_alt	1	209586	709	26633	12.7074	0.336936	34.7	3.44
chr7_KI270806v1_alt	1	158166	346	18067	11.4228	0.217885	35.2	1.39
chr7_GL383534v2_alt	1	119183	455	16508	13.851	0.379895	35.2	0
chr7_KI270803v1_alt	1	1111570	6831	170605	15.3481	0.61204	35	11.8
chr7_KI270808v1_alt	1	271455	442	25971	9.56733	0.161588	35.1	2.76
chr7_KI270807v1_alt	1	126434	126	9519	7.52883	0.0975608	34.7	1.27
chr7_KI270805v1_alt	1	209988	221	15378	7.32328	0.103306	34.5	4.02
chr8_KI270818v1_alt	1	145606	240	12320	8.46119	0.162425	35.2	5.78
chr8_KI270812v1_alt	1	282736	273	19446	6.87779	0.0954282	34.8	0.0147
chr8_KI270811v1_alt	1	292436	371	21283	7.27783	0.125819	35.1	2.98
chr8_KI270821v1_alt	1	985506	1898	98384	9.98309	0.191444	35	5.37
chr8_KI270813v1_alt	1	300230	896	32123	10.6995	0.297652	34.9	1.23
chr8_KI270822v1_alt	1	624492	1257	63528	10.1727	0.20048	35.2	6.47
chr8_KI270814v1_alt	1	141812	226	14687	10.3567	0.157836	34.7	0.283
chr8_KI270810v1_alt	1	374415	383	27791	7.42251	0.101625	34.9	2.07
chr8_KI270819v1_alt	1	133535	543	17941	13.4354	0.403467	34.5	0.737
chr8_KI270820v1_alt	1	36640	47	3642	9.93996	0.127948	34.2	6.3
chr8_KI270817v1_alt	1	158983	471	16891	10.6244	0.294566	34.8	0.592
chr8_KI270816v1_alt	1	305841	3103	69801	22.8226	1.00734	34.6	0.561
chr8_KI270815v1_alt	1	132244	193	12163	9.19739	0.144551	34.8	0.653
chr9_GL383539v1_alt	1	162988	164	12700	7.79198	0.0990257	34.8	0
chr9_GL383540v1_alt	1	71551	250	8727	12.1969	0.347081	34.7	0
chr9_GL383541v1_alt	1	171286	356	16913	9.87413	0.205177	35.2	1.3
chr9_GL383542v1_alt	1	60032	79	5431	9.04684	0.130697	35	11.4
chr9_KI270823v1_alt	1	439082	613	34830	7.93246	0.138628	35.3	2.4
chr10_GL383545v1_alt	1	179254	359	17314	9.65892	0.198897	35.3	10.8
chr10_KI270824v1_alt	1	181496	369	20657	11.3815	0.198666	35.2	0.789
chr10_GL383546v1_alt	1	309802	758	33392	10.7785	0.243013	35	0.0211
chr10_KI270825v1_alt	1	188315	745	26119	13.8698	0.393766	34.8	0
chr11_KI270832v1_alt	1	210133	1809	47715	22.707	0.855549	34.5	2.3
chr11_KI270830v1_alt	1	177092	442	14990	8.46453	0.245093	34.1	1.41
chr11_KI270831v1_alt	1	296895	1067	38959	13.1221	0.355907	34.8	3.72
chr11_KI270829v1_alt	1	204059	451	18637	9.13314	0.220363	35.2	1.05
chr11_GL383547v1_alt	1	154407	151	10574	6.84814	0.0966018	35.4	8.34
chr11_JH159136v1_alt	1	200998	640	23407	11.6454	0.317252	35.2	4.44
chr11_JH159137v1_alt	1	191409	397	18603	9.71898	0.206673	35	15.1
chr11_KI270827v1_alt	1	67707	62	4737	6.99632	0.091571	34	5.35
chr11_KI270826v1_alt	1	186169	202	14766	7.9315	0.106897	34.9	0.208
chr12_GL877875v1_alt	1	167313	1046	30665	18.3279	0.62086	34.8	3.66
chr12_GL877876v1_alt	1	408271	729	31927	7.82005	0.177757	35.1	0.211
chr12_KI270837v1_alt	1	40090	226	4526	11.2896	0.549988	32.7	0.354
chr12_GL383549v1_alt	1	120804	117	8446	6.99149	0.0965614	35.3	1.37
chr12_KI270835v1_alt	1	238139	754	33445	14.0443	0.313897	35.3	1.75
chr12_GL383550v2_alt	1	169178	219	14176	8.37934	0.127966	35.1	7.54
chr12_GL383552v1_alt	1	138655	130	9352	6.7448	0.0929573	34.8	0.923
chr12_GL383553v2_alt	1	152874	302	14505	9.48821	0.195972	35	0.298
chr12_KI270834v1_alt	1	119498	920	29121	24.3694	0.766155	34.9	0.117
chr12_GL383551v1_alt	1	184319	207	14644	7.94492	0.111052	34.8	2.59
chr12_KI270833v1_alt	1	76061	282	10581	13.9112	0.366706	35	3.2
chr12_KI270836v1_alt	1	56134	43	3181	5.6668	0.0763886	35.4	3.72
chr13_KI270840v1_alt	1	191684	302	18565	9.68521	0.156429	35.2	0.626
chr13_KI270839v1_alt	1	180306	220	13859	7.68638	0.120301	35.5	3.45
chr13_KI270843v1_alt	1	103832	84	6236	6.00586	0.0808421	35.3	4.27
chr13_KI270841v1_alt	1	169134	153	11803	6.97849	0.0892547	35.1	4.55
chr13_KI270838v1_alt	1	306913	491	26725	8.70768	0.158745	35.2	0.621
chr13_KI270842v1_alt	1	37287	100	3177	8.5204	0.264838	34.1	0.11
chr14_KI270844v1_alt	1	322166	602	32527	10.0963	0.186137	35.1	1.05
chr14_KI270847v1_alt	1	1511111	4126	171307	11.3365	0.271506	35	0.23
chr14_KI270845v1_alt	1	180703	457	20269	11.2167	0.25097	34.6	6.89
chr14_KI270846v1_alt	1	1351393	8718	183728	13.5955	0.642097	35	1.59
chr15_KI270852v1_alt	1	478999	902	40615	8.47914	0.187572	35.1	0
chr15_KI270851v1_alt	1	263054	1597	47198	17.9423	0.604104	35	0.944
chr15_KI270848v1_alt	1	327382	1230	43505	13.2888	0.37411	34.9	2.57
chr15_GL383554v1_alt	1	296527	1486	49367	16.6484	0.497476	34.9	0
chr15_KI270849v1_alt	1	244917	375	20338	8.30404	0.152252	35.3	2.97
chr15_GL383555v2_alt	1	388773	689	35274	9.07316	0.175094	34.8	1.85
chr15_KI270850v1_alt	1	430880	2309	82528	19.1534	0.533455	35	2.95
chr16_KI270854v1_alt	1	134193	399	15096	11.2495	0.295448	34.5	1.65
chr16_KI270856v1_alt	1	63982	108	4763	7.44428	0.166	34.2	1.09
chr16_KI270855v1_alt	1	232857	1132	36167	15.5319	0.482859	34.7	0.422
chr16_KI270853v1_alt	1	2659700	8744	331786	12.4746	0.326297	35	2.34
chr16_GL383556v1_alt	1	192462	701	22325	11.5997	0.361417	34.9	3.52
chr16_GL383557v1_alt	1	89672	174	8613	9.605	0.192725	34.8	2.07
chr17_GL383563v3_alt	1	375691	625	33855	9.0114	0.164968	34.6	4.31
chr17_KI270862v1_alt	1	391357	723	34538	8.82519	0.181624	34.7	1.31
chr17_KI270861v1_alt	1	196688	1423	42257	21.4843	0.718076	34.8	0.495
chr17_KI270857v1_alt	1	2877074	9193	357734	12.434	0.317501	34.9	1.87
chr17_JH159146v1_alt	1	278131	1450	40297	14.4885	0.519273	35.1	0.051
chr17_JH159147v1_alt	1	70345	314	9543	13.566	0.44468	34.6	19.8
chr17_GL383564v2_alt	1	133151	1215	27047	20.313	0.909644	35	0.00412
chr17_GL000258v2_alt	1	1821992	1134	57306	3.14524	0.0613696	34.9	0.168
chr17_GL383565v1_alt	1	223995	238	18164	8.10911	0.105967	35.3	0
chr17_KI270858v1_alt	1	235827	213	15843	6.71806	0.0898752	35.1	0.962
chr17_KI270859v1_alt	1	108763	133	8055	7.40601	0.119535	34.6	3.69
chr17_GL383566v1_alt	1	90219	114	7069	7.83538	0.125284	34.9	0.842
chr17_KI270860v1_alt	1	178921	613	21692	12.1238	0.341603	34.7	6.92
chr18_KI270864v1_alt	1	111737	111	7829	7.00663	0.0980964	35.3	0
chr18_GL383567v1_alt	1	289831	322	21298	7.34842	0.109823	35.3	7.51
chr18_GL383570v1_alt	1	164789	183	13382	8.12069	0.109558	35.1	0.186
chr18_GL383571v1_alt	1	198278	271	13911	7.01591	0.136051	35.3	5.34
chr18_GL383568v1_alt	1	104552	96	7220	6.90565	0.0912943	35.8	8.76
chr18_GL383569v1_alt	1	167950	92	6889	4.10182	0.054159	34.9	1.78
chr18_GL383572v1_alt	1	159547	391	10970	6.87572	0.24448	35	7.57
chr18_KI270863v1_alt	1	167999	448	16732	9.95958	0.26565	34.8	1.06
chr19_KI270868v1_alt	1	61734	348	10917	17.6839	0.558979	34.5	1.52
chr19_KI270865v1_alt	1	52969	494	12003	22.6604	0.926315	34.5	0.352
chr19_GL383573v1_alt	1	385657	793	34851	9.03679	0.204111	35.1	0.0479
chr19_GL383575v2_alt	1	170222	475	16484	9.68382	0.277308	35.1	1.83
chr19_GL383576v1_alt	1	188024	488	18784	9.99021	0.255829	35.2	3.39
chr19_GL383574v1_alt	1	155864	220	11586	7.4334	0.13812	35.3	3
chr19_KI270866v1_alt	1	43156	262	8172	18.936	0.590069	34.9	3.86
chr19_KI270867v1_alt	1	233762	571	23408	10.0136	0.243453	35	0
chr19_GL949746v1_alt	1	987716	2517	99505	10.0743	0.253624	34.7	0.145
chr20_GL383577v2_alt	1	128386	99	7374	5.74362	0.075865	35.4	1.09
chr20_KI270869v1_alt	1	118774	371	13135	11.0588	0.31059	34.8	0.695
chr20_KI270871v1_alt	1	58661	236	7513	12.8075	0.399107	34.5	0.542
chr20_KI270870v1_alt	1	183433	1021	28767	15.6826	0.553543	34.6	0.442
chr21_GL383578v2_alt	1	63917	55	4280	6.69618	0.0855484	35.6	23.8
chr21_KI270874v1_alt	1	166743	146	10985	6.58798	0.0861146	35.6	0.37
chr21_KI270873v1_alt	1	143900	151	10008	6.95483	0.103767	35	2.12
chr21_GL383579v2_alt	1	201197	178	13582	6.7506	0.0880779	35.1	0.607
chr21_GL383580v2_alt	1	74653	218	8744	11.7129	0.289607	34.6	0.55
chr21_GL383581v2_alt	1	116689	304	14222	12.188	0.258259	34.9	4.3
chr21_KI270872v1_alt	1	82692	561	16355	19.7782	0.673947	34.7	0.132
chr22_KI270875v1_alt	1	259914	1127	32323	12.436	0.430023	35.1	3.87
chr22_KI270878v1_alt	1	186262	420	20620	11.0704	0.224141	34.7	5.38
chr22_KI270879v1_alt	1	304135	1953	52800	17.3607	0.637148	34.9	16.2
chr22_KI270876v1_alt	1	263666	419	23562	8.93631	0.158291	34.9	2.01
chr22_KI270877v1_alt	1	101331	285	12480	12.3161	0.278266	34.6	3.21
chr22_GL383583v2_alt	1	96924	171	7271	7.50175	0.175271	35	0
chr22_GL383582v2_alt	1	162811	590	19032	11.6896	0.360356	34.9	0.547
chrX_KI270880v1_alt	1	284869	190	12094	4.24546	0.0661637	34.6	2.11
chrX_KI270881v1_alt	1	144206	140	7535	5.22516	0.0961333	35.5	0.0857
chr19_KI270882v1_alt	1	248807	69	4464	1.79416	0.0276801	34.7	0
chr19_KI270883v1_alt	1	170399	146	8703	5.10742	0.0855698	34.8	0
chr19_KI270884v1_alt	1	157053	57	3785	2.41001	0.0357332	35.1	0
chr19_KI270885v1_alt	1	171027	130	7475	4.37065	0.075643	35	0
chr19_KI270886v1_alt	1	204239	64	4136	2.02508	0.0313114	34.6	0
chr19_KI270887v1_alt	1	209512	137	8624	4.11623	0.0650655	34.7	0.73
chr19_KI270888v1_alt	1	155532	58	3223	2.07224	0.0369827	35	0
chr19_KI270889v1_alt	1	170698	170	9416	5.51617	0.0994563	34.6	0.2
chr19_KI270890v1_alt	1	184499	34	2266	1.22819	0.0184283	35.6	0
chr19_KI270891v1_alt	1	170680	139	8241	4.82833	0.0811343	34.5	0
chr1_KI270892v1_alt	1	162212	853	15806	9.74404	0.523882	35.1	0
chr2_KI270894v1_alt	1	214158	723	35114	16.3963	0.331872	35.1	9.46
chr2_KI270893v1_alt	1	161218	110	7293	4.52369	0.0680259	35.1	0.464
chr3_KI270895v1_alt	1	162896	833	25647	15.7444	0.509724	34.5	0.0072
chr4_KI270896v1_alt	1	378547	685	26880	7.10084	0.1797	35.1	1.35
chr5_KI270897v1_alt	1	1144418	2504	108885	9.51444	0.217384	35	0.355
chr5_KI270898v1_alt	1	130957	205	8519	6.50519	0.154929	35	0.517
chr6_GL000251v2_alt	1	4795265	6418	323398	6.74411	0.13303	34.8	0.655
chr7_KI270899v1_alt	1	190869	227	13913	7.28929	0.118673	34.8	1.62
chr8_KI270901v1_alt	1	136959	147	11471	8.3755	0.106908	34.7	8.12
chr8_KI270900v1_alt	1	318687	469	20824	6.53431	0.14657	34.8	4.2
chr11_KI270902v1_alt	1	106711	1990	27767	26.0207	1.8528	34.2	17
chr11_KI270903v1_alt	1	214625	577	20295	9.45603	0.266325	34.1	5.01
chr12_KI270904v1_alt	1	572349	1638	63028	11.0122	0.283666	34.7	5.45
chr15_KI270906v1_alt	1	196384	692	23709	12.0728	0.349341	34.8	0.191
chr15_KI270905v1_alt	1	5161414	15332	557500	10.8013	0.295553	34.9	3.74
chr17_KI270907v1_alt	1	137721	160	10513	7.63355	0.113984	34.5	3.44
chr17_KI270910v1_alt	1	157099	328	14509	9.23558	0.20699	34.8	0
chr17_KI270909v1_alt	1	325800	672	27906	8.56538	0.204936	34.8	2.78
chr17_JH159148v1_alt	1	88070	162	7282	8.26842	0.183899	34.7	1.61
chr17_KI270908v1_alt	1	1423190	3576	123512	8.67853	0.249854	34.9	2.28
chr18_KI270912v1_alt	1	174061	127	9326	5.35789	0.0726355	35	0
chr18_KI270911v1_alt	1	157710	300	10636	6.74402	0.189861	34.2	0.957
chr19_GL949747v2_alt	1	729520	891	46176	6.32964	0.121285	35	0.409
chr22_KB663609v1_alt	1	74013	264	10207	13.7908	0.356532	34.6	0
chrX_KI270913v1_alt	1	274009	214	11949	4.36081	0.0768624	34.6	7.07
chr19_KI270914v1_alt	1	205194	113	7423	3.61755	0.0550552	34.6	0
chr19_KI270915v1_alt	1	170665	115	7259	4.25336	0.0671198	34.6	2.33
chr19_KI270916v1_alt	1	184516	46	3133	1.69796	0.0249301	33.9	0
chr19_KI270917v1_alt	1	190932	153	9341	4.89232	0.0801332	34.9	0
chr19_KI270918v1_alt	1	123111	111	6894	5.59982	0.0901625	35	0
chr19_KI270919v1_alt	1	170701	146	9330	5.4657	0.0846568	34.8	0
chr19_KI270920v1_alt	1	198005	110	7920	3.9999	0.0554178	34.3	0
chr19_KI270921v1_alt	1	282224	61	4488	1.59023	0.0212349	35.6	0
chr19_KI270922v1_alt	1	187935	153	9003	4.79049	0.0808737	35.3	0
chr19_KI270923v1_alt	1	189352	92	5851	3.09001	0.0482752	34.3	0
chr3_KI270924v1_alt	1	166540	656	23579	14.1582	0.392734	34.4	0.32
chr4_KI270925v1_alt	1	555799	514	36369	6.54355	0.0914413	35	5.85
chr6_GL000252v2_alt	1	4604811	6372	299747	6.50943	0.137728	34.8	2.77
chr8_KI270926v1_alt	1	229282	394	17146	7.47813	0.171204	34.8	0.876
chr11_KI270927v1_alt	1	218612	2326	49597	22.6872	1.05899	34.4	9.61
chr19_GL949748v2_alt	1	1064304	543	32151	3.02085	0.0506754	34.8	0
chr22_KI270928v1_alt	1	176103	881	25499	14.4796	0.498867	35	8.49
chr19_KI270929v1_alt	1	186203	99	6309	3.38824	0.0531194	35.3	0
chr19_KI270930v1_alt	1	200773	173	9662	4.8124	0.0857137	34.5	0.15
chr19_KI270931v1_alt	1	170148	141	9592	5.63745	0.082822	34.5	0
chr19_KI270932v1_alt	1	215732	86	6001	2.78169	0.0393822	34.5	0
chr19_KI270933v1_alt	1	170537	163	8814	5.16838	0.0952462	35.2	1.31
chr19_GL000209v2_alt	1	177381	40	2782	1.56838	0.0223699	35.1	0
chr3_KI270934v1_alt	1	163458	875	25221	15.4297	0.533024	34.2	0
chr6_GL000253v2_alt	1	4677643	4061	228704	4.8893	0.0863582	35	0.75
chr19_GL949749v2_alt	1	1091841	492	29528	2.70442	0.0447904	35	0
chr3_KI270935v1_alt	1	197351	503	21879	11.0863	0.253427	34.6	0.823
chr6_GL000254v2_alt	1	4827813	5437	276197	5.72095	0.112018	34.9	0
chr19_GL949750v2_alt	1	1066390	537	30344	2.84549	0.0500052	34.6	0
chr3_KI270936v1_alt	1	164170	820	23387	14.2456	0.497496	34.4	0
chr6_GL000255v2_alt	1	4606388	5117	264144	5.7343	0.110349	34.8	0
chr19_GL949751v2_alt	1	1002683	592	34699	3.46062	0.0586297	34.6	0
chr3_KI270937v1_alt	1	165607	868	23693	14.3068	0.52185	34.3	0
chr6_GL000256v2_alt	1	4929269	4630	244082	4.95169	0.093341	34.8	0.054
chr19_GL949752v1_alt	1	987100	2627	100966	10.2285	0.264858	34.8	2.29
chr6_KI270758v1_alt	1	76752	49	3435	4.47545	0.0633599	35	0
chr19_GL949753v2_alt	1	796479	1741	64634	8.11497	0.217743	34.7	0.503
chr19_KI270938v1_alt	1	1066800	2976	111633	10.4643	0.277468	34.6	0.717
chrM	1	16569	20055	16569	100	120.047	34.9	53.8
chrUn_KI270303v1	1	1942	4	340	17.5077	0.197219	30.9	0
chrUn_KI270305v1	1	1472	7	459	31.1821	0.475543	35.7	7.14
chrUn_KI270322v1	1	21476	14	741	3.45036	0.065189	35.9	25.8
chrUn_KI270320v1	1	4416	35	1595	36.1187	0.772192	35.5	13.6
chrUn_KI270310v1	1	1201	5	299	24.8959	0.41632	34.7	0.4
chrUn_KI270315v1	1	2276	3	275	12.0826	0.13181	36.5	15.3
chrUn_KI270311v1	1	12399	11	439	3.54061	0.0862166	32.9	0
chrUn_KI270317v1	1	37690	5	290	0.769435	0.0132661	34.8	11.6
chrUn_KI270412v1	1	1179	3	233	19.7625	0.254453	31.4	9.33
chrUn_KI270411v1	1	2646	8	568	21.4664	0.302343	36.2	1.5
chrUn_KI270414v1	1	2489	4	378	15.1868	0.160707	35.3	0
chrUn_KI270420v1	1	2321	3	281	12.1069	0.129255	34.2	20.3
chrUn_KI270424v1	1	2140	4	283	13.2243	0.186916	35.9	0
chrUn_KI270422v1	1	1445	5	429	29.6886	0.346021	32.2	17.2
